question,evidence_bound,observed_value,interpretation,confidence,evidence
is_av_runtime_surface_directly_attributable,112_of_112_phase6g_instances,112 direct semantic-to-NVTX-to-runtime-to-correlationId-to-kernel chains,YES_HIGH_CONFIDENCE_FOR_ATTRIBUTION_ONLY,HIGH,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/attention_v_runtime_attribution.csv
av_layer_coverage,28_decode_layers,28_of_28 TensorRT layers represented,COMPLETE_FOR_OBSERVED_DECODE_SURFACE,HIGH,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/attention_v_kernel_mapping.csv
representative_steady_av_duration_ns,4_decode_steps_times_28_layers,4237568 ns,MEANINGFUL_BUT_NOT_INEFFICIENCY_EVIDENCE,HIGH,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/attention_v_boundary_analysis.csv
representative_steady_share,147830560_ns_steady_kernel_denominator,2.866503%,MEANINGFUL_BUT_NOT_INEFFICIENCY_EVIDENCE,HIGH,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/attention_v_boundary_analysis.csv
all_trace_share,230950048_ns_all_trace_kernel_denominator,1.834842%,SEPARATE_DENOMINATOR_AND_NOT_STEADY_SHARE,HIGH,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/attention_v_boundary_analysis.csv
is_av_inefficient_enough,directly_attributed_AV_efficiency_or_headroom,UNKNOWN,No direct AV NCU or measured headroom evidence,NOT_PROVEN,results/phase6h_attention_v_feasibility_boundary/20260906T160259Z/ncu_attribution_reconciliation.csv
is_av_clean_enough,direct_attribution_plus_bounded_replacement_surface,Attribution is HIGH; replacement surface is bounded by UNKNOWN shapes/backend/tactic,PARTIALLY_SUPPORTED_FOR_ISOLATION_NOT_PROVEN_FOR_REPLACEMENT,MEDIUM,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md
is_ncu_supported,direct_AV_instance_ownership,0_of_0 direct AV NCU samples found,NO,HIGH,results/phase6h_attention_v_feasibility_boundary/20260906T160259Z/ncu_attribution_reconciliation.csv
exact_runtime_gemm_shape,per_instance_kernel_arguments_or_engine_IO,UNKNOWN,CANNOT_ASSESS_SHAPE_LIMITED_HEADROOM,UNKNOWN,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md
numeric_tactic_identity,numeric_tactic_identifier,UNKNOWN,CANNOT_CLAIM_TACTIC_DEFECT,UNKNOWN,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md
cuda_backend_identity,direct_backend_ownership,UNKNOWN,CANNOT_CALL_IT_CUBLASLT_OR_CUTLASS,UNKNOWN,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md
future_optimization_feasibility_experiment_justified,inefficient_enough_and_clean_enough,NOT_PROVEN,NO_PROVEN_JUSTIFICATION_FROM_CURRENT_EVIDENCE,NOT_PROVEN,results/phase6h_attention_v_feasibility_boundary/20260906T160259Z/phase6h_feasibility_report.md
