evidence_id,phase,artifact_path,evidence_type,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove,notes
EVID_001,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.sqlite,Raw NSYS SQLite timeline,ea9ea0bc4a369647b837def7f98d2bfec2765f1f6f9c9619b4388ab2ab4345a8,3477504,Mixed persistent warmup plus representative prefill and four decode steps,NVTX ownership; runtime correlation; kernel names and launch configuration; immediate NVTX parents,Runtime tensor shapes; kernel arguments; workload identity between different parent ranges,Read-only URI access only; remains Jetson-local
EVID_002,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.nsys-rep,Raw Nsight Systems report,14a579d7b15f5f936879fd13964021adf58b4cff6d9dc3e727177cfb17a9cce6,782415,Same raw capture,Companion identity for the SQLite export,Per-event query without export,Read-only hash check only
EVID_003,Phase 6-C,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md,Derived historical attribution report,UNKNOWN,5476,Historical eleven /MatMul launches,Seven h16816 and four xmma launches with differing immediate parents,Runtime shapes; same engine invocation; same workload,Frozen historical evidence
EVID_004,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,Derived reconciliation report,32c1a318e1f43887ec821d87c592fd03c77788978f070a1905a60bcf39619c7b,6223,Historical seven-launch anomaly,Historical h16816 launches are real and directly owned by /MatMul,Runtime shapes and same workload identity,Frozen historical evidence
EVID_005,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/candidate_inventory.csv,Derived candidate inventory,48601550405146d3c834e841222616bb02afb26ce175d0b98eb89b01d22052e5,34726,Static decode graph metadata,Layer-0 QK semantic identity with static shape [16,1,128] x [16,128,-1] -> [16,1,-1],Runtime kernel shape or workload equivalence,High-confidence static semantic mapping
EVID_006,Phase 3-C,experiments/Phase2-qwen3-quantization/src/phase3b/phase3b_runtime_context.py,Historical workload code,619599f0d93b910785954945cb17e3ffb3e48667973632eceeae4d4b76f298e6,25859,Historical profile code path,Persistent runtime and profiled S=8 plus decode 0-3 sequence,Direct per-launch runtime tensor shapes,Code-derived workload evidence
EVID_007,Phase 3-C,results/phase3c_residual_runtime/20260904T093500Z_nsys/mixed_persistent_profile/run_config.json,Historical run config,UNKNOWN,417,Historical profile configuration,Historical runtime lifetime and requested benchmark defaults,Exact input bytes; allocator layout,Frozen config artifact
EVID_008,Phase 3-C,results/phase3c_residual_runtime/20260904T093500Z_nsys/mixed_persistent_profile/profile_result.json,Historical profile result,UNKNOWN,371,Historical profile execution,Historical Mixed persistent engine directory and decode steps 0-3,Runtime tensor shapes,Frozen result artifact
EVID_009,Phase 6-E,/tmp/phase6e_qk_20260906T092107Z/phase6e_qk.nsys-rep,Raw Nsight Systems report,9f99abfdc5b664254ea4b63bbd8326e77769b6127fd80382134d7a815e5d5800,774115,Phase 6-E controlled no-Nsys validation plus Nsys execution,Raw capture identity for the controlled run,Per-event query without SQLite export,Jetson-local and intentionally outside Git
EVID_010,Phase 6-E,/tmp/phase6e_qk_20260906T092107Z/phase6e_qk.sqlite,Raw Nsight Systems SQLite timeline,9ffc5ee3237da040342ad20459352a3ee1048d2785d6ed933d3b3a0879de01c9,3432448,Phase 6-E controlled decode Nsys run,NVTX ownership and runtime-to-kernel correlation,Runtime tensor shapes and kernel arguments,Jetson-local and intentionally outside Git
EVID_011,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/runtime_shape_log.csv,Direct TensorRT I/O shape log,eb110c54b1cdcc73eecce4122798ae441e7b4aa176f18708850b2ff9b9c5e40c,343331,One warmup prefill S8 one steady prefill S8 and decode steps 0-3,Direct IExecutionContext tensor shapes for every engine invocation,Engine-internal tensor shapes and kernel arguments,776 shape rows sampled after execution and synchronization
EVID_012,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/qk_runtime_kernel_correlation.csv,Derived QK runtime and kernel correlation,94e59f0cfe507f2fb6a6138d6a60cb4c2ffac077d1a0db6974cc882211617bc3,2476,Four controlled layer-0 decode /MatMul invocations,One /MatMul range per decode invocation correlated to one xmma kernel with derived GEMM shapes,Kernel argument identity and direct internal QK tensors,Q shapes are derived from proven static identity and direct cache progression
EVID_013,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/qk_path_trigger_analysis.csv,Derived path trigger analysis,bb8e83a44ebf26a18366e99b8dd5e4ad1f1919faa7c0058f71b5bb36c6a3b4d4,558,Controlled decode steps 0-3,Zero h16816 kernels and four xmma kernels were observed,Transition trigger or absence of trigger outside tested boundary,The run cannot reproduce the historical h16816 path
EVID_014,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/qk_workload_comparison.csv,Derived workload comparison,380f59d5547b6f19392eba50433970cc5199a5746feb28f77e889e036ed527f2,941,Historical versus Phase 6-E boundaries,Historical h16816-versus-xmma workload classification is UNKNOWN,Valid raw latency ratio or normalized performance comparison,Runtime shape and invocation identity differ in evidence level
EVID_015,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/phase6e_attribution_report.md,Derived attribution report,cf5dd7a619682531f5584063ccb03820848a2692fdf5e2d35013f8d3990b3101,7581,Phase 6-E controlled attribution closeout,Final gate QK_H16816_PATH_NOT_REPRODUCED and evidence bounds,Proof of workload equivalence or optimization target,Analysis-only derived report
EVID_016,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/gate_update.md,Derived gate decision,84c1c261b3f8760760094a0fee68902fb2f96923998725ce6d8259378f051b3b,1765,Phase 6-E closeout decision,Bounded PASS with no implementation authorization,Authorization for any next experiment or implementation,Owner review is required before follow-up
EVID_017,Phase 6-E,experiments/Phase2-qwen3-quantization/src/phase6e/phase6e_qk_runtime_attribution.py,Controlled-run harness,4e7bdfcc7e057db6128114b9d27d8708541de7e99dea6a478670f3136f60cee8,18694,Frozen-engine persistent-context execution,Direct shape logging method and workload invariants,Runtime evidence by itself without Jetson execution,No engine rebuild or tactic forcing
EVID_018,Phase 6-E,experiments/Phase2-qwen3-quantization/src/phase6e/analyze_phase6e_nsys.py,Nsys analysis code,a93970f0de8c91e4c6d77c7362994e74b3748e19ad4f35c37bff2a4364cda874,12030,Read-only SQLite analysis,Reproducible NVTX-to-runtime-to-kernel correlation method,Direct runtime tensor shapes not stored in NSYS,Derived QK shape labels are explicit
