candidate_id,candidate,semantic_operator,runtime_context,kernel_or_surface_identity,decisive_runtime_evidence,decisive_negative_or_limiting_evidence,phase7_status,source_artifacts
P7_000,Persistent ExecutionContext,TensorRT runtime object lifetime,Current single-request batch-1 S=8/S=16 runtime,Persistent one-context-per-engine wrappers,Mixed prefill 2259.919/2255.619 -> 47.627/42.406 ms and TPOT 2662.990/2662.266 -> 43.362/43.580 ms; outputs exactly equal; steady module load/unload zero,Startup cost increased; exact retained-context memory cost INCONCLUSIVE,PROVEN_OPTIMIZATION,docs/phase3b_runtime_object_lifetime.md;results/phase3b_runtime_lifetime/20260904T081621Z/functional_result.json;results/phase3b_runtime_lifetime/20260904T081727Z/bench_result.json;results/phase3b_runtime_lifetime/20260904T082912Z_nsys/analysis/b4_causal_ab.csv
P7_001,Layer-0 decode QK h16816 path,QK^T,Mixed prefill S8 plus decode steps 0-3; historical trace,trt_ampere_h16816gemm_128x64_ldg8_nn_v1,Historical seven launches total 54984352 ns; five steady launches 35951296 ns / 24.319258 percent,Phase 6-E controlled run used xmma in all four launches and zero h16816; workload and trigger UNKNOWN,NO_CURRENT_ACTION,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md;results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/phase6e_attribution_report.md
P7_002,Attention x V across 28 layers,Attention x V,Mixed persistent representative steady decode steps 0-3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt,112/112 instances; 28/28 layers; 112 correlation IDs; steady AV 4237568 ns / 2.866503 percent,Zero directly owned NCU samples; kernel arguments workload tactic backend and headroom UNKNOWN,NO_PROVEN_AV_OPTIMIZATION_OPPORTUNITY,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md;results/phase6h_attention_v_feasibility_boundary/20260906T160259Z/phase6h_feasibility_report.md
P7_003,QK layers 1-27 static xmma path,QK^T,Mixed persistent all-trace metadata; not layer-isolated,sm80_xmma_gemm_f16f16_f16f32_f32 tactic class,Direct rows total 2518016 ns / 1.090286 percent over 27 rows and 108 calls,Per-layer runtime isolation exact mapping workload and headroom UNKNOWN,ATTRIBUTION_ONLY,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv;results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md
P7_004,Fused q_proj k_proj v_proj,Fused QKV projection,Layer 2 observed historical context only,h16816 shared projection context,One shared fused range 4442880 ns all-trace,Single-layer coverage; shared range cannot be triple counted; workload UNKNOWN,ATTRIBUTION_ONLY,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv
P7_005,gate_proj shared h16816 path,gate_proj,Layer 27 observed historical context,h16816 shared family context,One direct row 648512 ns all-trace,Shared h16816 cannot be cleanly assigned; no defect proven,ATTRIBUTION_ONLY,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md
P7_006,down_proj / o_proj,down_proj and o_proj,Static mappings without reviewed mapped runtime rows,UNKNOWN,No mapped runtime rows in reviewed attribution artifact,Runtime contribution workload and headroom UNKNOWN,NO_CURRENT_ACTION,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv
P7_007,TensorRT internal __myl_* family,UNKNOWN,Mixed all-trace name-based context,Multiple __myl_* kernels,13927392 ns Mixed all-trace name-based category,Operator semantic identity isolation and mechanism UNKNOWN,ATTRIBUTION_ONLY,results/phase3c_residual_runtime/20260904T093500Z_nsys/stats/mixed_persistent_cuda_gpu_kern_sum.csv
P7_008,RMSNorm / RoPE,RMSNorm and RoPE performance categories,Name-based category; numerical diagnostics separate,UNKNOWN,Zero ms in reviewed name-based performance category,Numerical evidence cannot establish performance headroom,NO_CURRENT_ACTION,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv
P7_009,CUDA Graph current prototype path,Current PyTorch CUDA Graph around TensorRT path,Phase 3-D0 prototype,Invalid captured graph paths,Captured graph replay omitted TensorRT kernels and failed validation,No valid performance baseline; current path is disproven,NO_CURRENT_ACTION,docs/phase3d0_cuda_graph_feasibility.md
P7_010,up_proj decode FP16 GEMM,up_proj,Phase 4 and 5 decode target,h16816 and sm80_xmma correlated families,Significant runtime evidence and isolated shape,NO_PROVEN_CUDA_GEMM_OPTIMIZATION_TARGET and NO_PROVEN_TACTIC_DEFECT; matched NCU nearly equal,CLOSED_FOR_NOW,results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md;results/phase5b_tensorrt_gemm_path_investigation/20260905T112513Z/phase5b_step2_ncu_comparison.md
