launch_index,boundary,decode_step,correlation_id,path,workload_key_length_hint,workload_hint_confidence,runtime_q_shape,runtime_k_shape,runtime_output_shape,runtime_shape_confidence,evidence_limit
1,PHASE3B_WARMUP,UNKNOWN,9095,h16816,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
2,PHASE3B_WARMUP,UNKNOWN,10478,h16816,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
3,PHASE3B_STEADY_PREFILL_S8,UNKNOWN,11865,h16816,8,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
4,PHASE3B_STEADY_DECODE_STEP_0,0,12530,xmma,8,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
5,PHASE3B_STEADY_DECODE_STEP_0,0,13709,h16816,8,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
6,PHASE3B_STEADY_DECODE_STEP_1,1,14364,xmma,9,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
7,PHASE3B_STEADY_DECODE_STEP_1,1,15187,h16816,9,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
8,PHASE3B_STEADY_DECODE_STEP_2,2,15842,xmma,10,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
9,PHASE3B_STEADY_DECODE_STEP_2,2,16665,h16816,10,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
10,PHASE3B_STEADY_DECODE_STEP_3,3,17320,xmma,11,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
11,PHASE3B_STEADY_DECODE_STEP_3,3,18143,h16816,11,CODE_SEQUENCE_ONLY_NOT_PER_LAUNCH_PROOF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No runtime tensor-shape or kernel-argument table in SQLite
