candidate_id,candidate,phase6f_final,R,A,S,B,F,U,positive,final,ranking_eligibility,phase7_status,score_override_reason
P7_000,Persistent ExecutionContext,not ranked,3,3,3,3,3,1,15,15,EXCLUDED_IMPLEMENTED_PROVEN,PROVEN_OPTIMIZATION,Already implemented and proven; not a pending optimization candidate
P7_001,Layer-0 decode QK h16816 path,6,3,3,1,2,0,3,9,6,INELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION,Phase 6-E non-reproduction and unresolved workload/trigger prevent action
P7_002,Attention x V across 28 layers,6,2,3,2,1,1,3,9,6,ACTIVE_HIGHEST_EVIDENCED_NO_AUTHORIZED_OPTIMIZATION,NO_PROVEN_AV_OPTIMIZATION_OPPORTUNITY,Strongest evidence surface but no defect inefficiency headroom or directly owned NCU evidence
P7_003,QK layers 1-27 static xmma path,5,1,2,1,1,2,2,7,5,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY,Attribution question remains; no defect evidence
P7_004,Fused q_proj k_proj v_proj,4,1,2,1,1,1,2,6,4,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY,Single-layer shared range blocks promotion
P7_005,gate_proj shared h16816 path,4,1,2,1,2,1,3,7,4,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY,Shared family attribution and Phase 5 negative evidence block promotion
P7_006,down_proj / o_proj,4,0,2,2,1,1,2,6,4,INELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION,No mapped runtime rows
P7_007,TensorRT internal __myl_* family,1,2,0,0,1,1,3,4,1,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY,Meaningful aggregate without operator identity
P7_008,RMSNorm / RoPE,-1,0,0,0,1,1,3,2,-1,INELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION,No positive performance evidence
P7_009,CUDA Graph current prototype path,-2,0,0,0,1,0,3,1,-2,INELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION,Invalid graph path omitted TensorRT kernels
P7_010,up_proj decode FP16 GEMM,8,3,3,3,0,0,1,9,8,EXCLUDED_CLOSED,CLOSED_FOR_NOW,Phase 5 closure overrides score
