evidence_id,phase,artifact_path,evidence_type,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove,notes
EVID_001,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/phase6d_plan.md,Frozen scoring-model plan,93d9cb880816f80c434613e9ee4eb2a0ed388fc1e791bfa7b4d9dc7e3adac6cb,5139,Phase 6-D evidence synthesis,Freezes R+A+S+B+F-U and the 0-3 scale,Phase 6-E impact or Phase 6-F outcome,Reused without changing weights or adding a reproducibility score
EVID_002,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_scoring.csv,Frozen old score table,277f40f79b5a49bdfe069785be8e56b168b48a50bd997aa260105dadf8acefdc,1932,Phase 6-D candidate scores,Provides the before-reproduction dimension scores,New runtime reproducibility evidence,Old scores are retained rather than overwritten
EVID_003,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_ranking.csv,Frozen old ranking,947bdcf9c931e8bbb6f8efab067a6a8bce1ea20d61f5e95d8cb09f59eedc51a8,2056,Phase 6-D active ranking,Provides the before-reproduction ranking and classifications,New classification after Phase 6-E,Phase 6-F uses it as the explicit comparison baseline
EVID_004,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv,Frozen candidate inventory,f77a8f6ab626043cdbbe34b888c5536b7d077f81bc767d295a814e3f88d1e073,8301,Phase 6-D evidence synthesis,Provides historical runtime and attribution context,Phase 6-E controlled run or direct AV/QK row sums,Candidate identities are reused rather than reinvented
EVID_005,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_evidence_matrix.csv,Frozen evidence matrix,8c00ddd9b413b02b3e433e461a26872513407c330e6a92b0fd32dbb0f3ba4a29,4108,Phase 6-D candidate evidence,Provides old evidence limits and smallest questions,Controlled reproducibility result,Updated in Phase 6-F without modifying the old file
EVID_006,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/phase6d_target_ranking_report.md,Frozen old report,60fccf99ac7131ed5d12ecfc852aac8c140b4cb49fc892fd63f39396de1b37ad,7473,Phase 6-D ranking closeout,Documents old Rank 1 layer-0 QK and old gate,Post-reproduction downgrade,Old report remains unchanged
EVID_007,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/phase6a_attribution_report.md,Derived semantic attribution report,0e0226ac10087f42bf095fc92b9d35ac453291ceef10a0672795358d01ecaaf1,9452,Phase 3-C Mixed persistent NSYS all-trace plus static engine evidence,28 HIGH QK and 28 HIGH Attention x V identities; prefill fused and decode standalone metadata,Runtime one-to-one kernel mapping or AV-only feasibility,Primary semantic-attribution evidence
EVID_008,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv,Derived row aggregate,5a9e768576debb09453148d021f3760fd834d2bc644bc452d88106956bb5c31a,12019,Phase 3-C Mixed persistent NSYS NVTX kernel mapping all trace,Direct row sums: Attention x V 4237568 ns / 1.834842 percent; QK layers 1-27 2518016 ns / 1.090286 percent,Steady-state contribution or normalized performance,Denominator is 230950048 ns; layer-0 QK contains the separate h16816 anomaly
EVID_009,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,Derived historical reconciliation,32c1a318e1f43887ec821d87c592fd03c77788978f070a1905a60bcf39619c7b,6223,Historical seven launches and representative steady boundary,Seven h16816 launches are real and sum 54984352 ns; five steady are 35951296 ns / 24.319258 percent,Runtime shape or same-workload comparability,Layer-0 QK historical behavior remains real but unresolved
EVID_010,Phase 6-C,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md,Derived dynamic-path report,0a446a523c6ae526e2628b8847aa0d4b1959693270d0ce0c6162c1dda52f9c8d,5476,Historical 11 /MatMul launches,Seven h16816 and four xmma launches with differing immediate parents,Runtime shape or transition trigger,Frozen pre-Phase-6-E limit
