candidate_id,candidate,phase6d_candidate_id,R,A,S,B,F,U,positive,final,phase6d_final,score_boundary,phase6e_impact,score_rationale,ranking_eligibility,classification
P6F_001,layer-0 decode QK^T h16816 path,P6D_001,3,3,1,2,0,3,9,6,8,All-trace and representative steady historical NSYS; controlled Phase 6-E boundary,F decreases 1 to 0 and U increases 2 to 3,Historical contribution and semantic attribution remain strong but non-reproduction removes bounded feasibility and adds fundamental uncertainty,INELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION
P6F_002,Attention x V across 28 layers,P6D_003,1,3,1,1,2,2,8,6,4,Phase 3-C Mixed persistent NSYS direct-row all-trace aggregate,F increases 1 to 2,Direct AV rows establish a bounded runtime question without new profiling,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY
P6F_003,QK^T layers 1-27 static xmma path,P6D_002,1,2,1,1,2,2,7,5,4,Phase 3-C Mixed persistent NSYS direct-row all-trace aggregate,F increases 1 to 2,Direct layers 1-27 rows create a bounded attribution question though runtime isolation remains unresolved,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY
P6F_004,Fused q_proj;k_proj;v_proj,P6D_005,1,2,1,1,1,2,6,4,4,One shared historical all-trace range,No change,Single-layer shared coverage remains too limited for a sharply bounded next experiment,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY
P6F_005,gate_proj shared-h16816 path,P6D_004,1,2,1,2,1,3,7,4,4,One shared historical all-trace row,No change,Shared h16816 and Phase 5 negative evidence prevent promotion,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY
P6F_006,down_proj / o_proj,P6D_007,0,2,2,1,1,2,6,4,4,Reviewed attribution artifact has no mapped runtime rows,No change,Static mapping cannot substitute for runtime contribution,ELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION
P6F_007,TensorRT internal non-GEMM __myl_* family,P6D_006,2,0,0,1,1,3,4,1,1,Mixed all-trace name-based category,No change,Large aggregate lacks operator identity and clean isolation,ELIGIBLE_ATTRIBUTION_ONLY,ATTRIBUTION_ONLY
P6F_008,RMSNorm / RoPE,P6D_009,0,0,0,1,1,3,2,-1,-1,Reviewed name-based category,No change,No positive performance evidence,ELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION
P6F_009,CUDA Graph current prototype path,not previously ranked,0,0,0,1,0,3,1,-2,not ranked,not ranked,New inventory item retained for completeness,Current graph replay is invalid and omits TensorRT kernels so no performance target exists,ELIGIBLE_NO_CURRENT_ACTION,NO_CURRENT_ACTION
P6F_010,up_proj decode FP16 GEMM,P6D_008,3,3,3,0,0,1,9,8,8,Phase 4/5 feasibility boundaries,No change,Scored for transparency only; Phase 5 closure overrides score,EXCLUDED_CLOSED,CLOSED_FOR_NOW
