evidence_id,phase,artifact_path,evidence_type,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove,notes
EVID_001,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.sqlite,Raw NSYS SQLite timeline,ea9ea0bc4a369647b837def7f98d2bfec2765f1f6f9c9619b4388ab2ab4345a8,3477504,Mixed persistent representative prefill plus four decode steps plus warmup and init,NVTX range containment; runtime launch; correlationId; per-kernel start/end/stream/grid/block/resources,TensorRT layer identity without static metadata join,Read-only URI access only
EVID_002,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.nsys-rep,Raw Nsight Systems report,14a579d7b15f5f936879fd13964021adf58b4cff6d9dc3e727177cfb17a9cce6,782415,Same raw capture,Companion identity for the SQLite export,Per-event query without export,Read-only hash check only
EVID_003,Phase 4-A.2,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,Derived NVTX-to-kernel aggregate,cb809dd64cd728d93f739866d508b8ca4a881318473871917c7f0f6c1afdb464,51718,All-trace aggregate,Historical suspicious row and mapping confidence,Individual launch timeline or direct correlation,Line 2 is the suspicious row
EVID_004,Phase 3-C,results/phase3c_residual_runtime/20260904T093500Z_nsys/stats/mixed_persistent_cuda_gpu_kern_sum.csv,Derived GPU kernel summary,b85bb79c9b6bf8f77485991cad4e6fe194b50fb048409911086f4af705c5fee1,17274,All-trace aggregate,Kernel-family totals and denominator context,Clean prefill/decode split,All-trace denominator 230950048 ns
EVID_005,Phase 3-C,results/phase3c_residual_runtime/20260904T093500Z_nsys/stats/mixed_persistent_nvtx_kern_sum.csv,Derived NVTX kernel summary,8715c7b88ef7b845f474f47a20bba033c194da5ccdda72098c4120ef272f58f9,193061,All-trace aggregate,Suspicious range aggregate and duration distribution,Nested range audit or direct correlation,Range aggregate line confirms 54984352 ns
EVID_006,Phase 4-F,results/phase4f_kernel_attribution/20260904T164404Z/correlation_analysis.json,Derived raw-SQLite correlation analysis,9fffec02504a7b772862187a96cee1f11b886ca4c144591f76074ca776c7e5a1,25020,Phase 3-C all-trace Mixed persistent,up_proj launch attribution and kernel totals,Generic /MatMul attribution beyond the included context,Cross-phase comparison only
EVID_007,Phase 4-A.0,results/phase4a_operator_attribution/20260904T131524Z/mixed_decode_engine_inspector.json,Static decode EngineInspector JSON,b9305150544221c601861aa7b7a86232bbc62d851ac45619fe6166758cc5fe71,577689,Static serialized engine,Layer 15 identity; shapes; tactic metadata,Runtime kernel identity by itself,Layer 15 is /MatMul_myl0_15
EVID_008,Phase 4-A.1,results/phase4a_operator_attribution/20260904T132820Z/mapping.csv,Static layer-to-ONNX mapping,f72801d9ff686fc446756ffd6577a59a170aa131df994de76ba260428281a296,208422,Static graph/engine mapping,Layer 15 to /MatMul mapping and MEDIUM historical confidence,Runtime attribution or operator semantics by itself,Line 17 records layer 15
EVID_009,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/candidate_inventory.csv,Derived candidate inventory,48601550405146d3c834e841222616bb02afb26ce175d0b98eb89b01d22052e5,34726,All-trace Phase 3-C aggregate,56 MatMul candidates and static shape provenance,Direct launch timeline,Row P6A_001 is suspicious candidate
EVID_010,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv,Derived contribution reconciliation,5a9e768576debb09453148d021f3760fd834d2bc644bc452d88106956bb5c31a,12019,All-trace aggregate,Candidate totals and shares,Steady-boundary reconciliation,P6A_001 contains suspicious row
EVID_011,Phase 3-E,results/phase3e_kernel_attribution/20260904T121007Z/analysis/e3_ncu_kernel_summary.csv,NCU summary,679eb4f2a29ba8915a6334006d23013f782b50f30cd8d94f34daa7a7eba63000,1244,Targeted FP16 persistent S8 decode_steps0 NCU,Rank-1 h16816 duration and NCU metrics,Same operator attribution from kernel name alone,Mean of three launches
EVID_012,Phase 3-E,results/phase3e_kernel_attribution/20260904T121007Z/analysis/e3_selected_nsys_candidates.csv,NCU selection record,deb171c6986d0ef9819bc4f627a9a1c906f2da61c88a375f6ad9209c9d48f691,961,Phase 3-C aggregate selection,Selection basis and mapping caveat,Direct runtime ownership,Rank1 mapping evidence is tactic match
EVID_013,Phase 3-E,results/phase3e_kernel_attribution/20260904T121007Z/ncu/rank1_h16816_details.csv,NCU section export,ee0d4240a0faf272ffe7029a74b8155b4f29e2755472503a25f7850cfe9dd552,11316,Targeted NCU launch,Grid block registers and metrics,Operator identity,Grid 1187x1x1 block 64x1x1
EVID_014,Phase 3-E,results/phase3e_kernel_attribution/20260904T121007Z/ncu/rank1_h16816.log,NCU run log,228328759f724a247a9bb22dd8921a7c3e24adefaa05b2732d922c584835a7a4,1684,Targeted NCU launch,FP16 persistent context and decode_steps0,Same trace instance identity,This is not the Phase 3-C Mixed trace
