rank,candidate_id,candidate,final_score,phase6d_final,phase6d_rank,phase6f_rank_change,classification,selected_next_target,gate_relevance,rank_change_rationale
1,P6F_001,layer-0 decode QK^T h16816 path,6,8,1,unchanged ordinal; downgraded classification,NO_CURRENT_ACTION,false,Not eligible,Score falls from 8 to 6 and classification changes from ATTRIBUTION_ONLY to NO_CURRENT_ACTION because Phase 6-E did not reproduce the h16816 path and left workload and trigger UNKNOWN
2,P6F_002,Attention x V across 28 layers,6,4,2,unchanged ordinal; becomes highest actionable,ATTRIBUTION_ONLY,true,SELECTED_FOR_NEXT_ATTRIBUTION_TARGET_RECOVERED,Direct AV rows total 4237568 ns / 1.834842 percent all-trace and HIGH semantic identity support one bounded read-only attribution question; this makes AV the highest eligible target despite layer-0 QK retaining a numerically tied score
3,P6F_003,QK^T layers 1-27 static xmma path,5,4,3,unchanged,ATTRIBUTION_ONLY,false,Eligible attribution-only,Direct all-trace total 2518016 ns / 1.090286 percent and feasibility of an offline query improve the score but rank remains below AV because attribution confidence is lower
4,P6F_004,Fused q_proj;k_proj;v_proj,4,4,4,unchanged,ATTRIBUTION_ONLY,false,Attribution-only,The one shared range has bounded evidence but no sharply bounded generalizable question
5,P6F_005,gate_proj shared-h16816 path,4,4,6,+1,ATTRIBUTION_ONLY,false,Attribution-only,Higher runtime confidence and the frozen tie-break move gate_proj above down_proj/o_proj; shared h16816 still blocks promotion
6,P6F_006,down_proj / o_proj,4,4,5,-1,NO_CURRENT_ACTION,false,Not eligible,No mapped runtime rows keep this below gate_proj under the frozen higher-R tie-break
7,P6F_007,TensorRT internal non-GEMM __myl_* family,1,1,7,unchanged,ATTRIBUTION_ONLY,false,Attribution-only,Meaningful name-based time remains insufficient because operator identity and surface are unknown
8,P6F_008,RMSNorm / RoPE,-1,-1,8,unchanged,NO_CURRENT_ACTION,false,Not eligible,Name-based category remains zero and no precise performance attribution exists
9,P6F_009,CUDA Graph current prototype path,-2,not ranked,not ranked,new inventory item,NO_CURRENT_ACTION,false,Not eligible,Retained from Phase 3-D0 for completeness; invalid replay and absent TensorRT kernels prevent it from being a target
CLOSED_FOR_NOW,P6F_010,up_proj decode FP16 GEMM,8,8,CLOSED_FOR_NOW,unchanged,CLOSED_FOR_NOW,false,Excluded,Phase 5 negative evidence overrides the numerical score; reopening requires new independent evidence
