candidate_id,R,A,S,B,F,U,runtime_significance_evidence,semantic_attribution_evidence,surface_clarity_evidence,baseline_or_defect_evidence,feasibility_evidence,uncertainty_evidence,smallest_unanswered_question
P7_000,3,3,3,3,3,1,R=3: large controlled wall-time reduction and module load/unload removal,A=3: exact object-lifetime mechanism identified,S=3: minimal persistent implementation and validation chain,B=3: causal A/B and exact-output proof,F=3: implemented and proven,U=1: exact retained-memory cost remains INCONCLUSIVE,Exact retained-context-only memory cost
P7_001,3,3,1,2,0,3,R=3: historical five steady launches are 35951296 ns / 24.319258 percent,A=3: QK semantic identity and historical runtime ownership HIGH,S=1: replacement boundary and runtime shapes UNKNOWN,B=2: real historical anomaly but no tactic defect,F=0: controlled run did not reproduce h16816,U=3: workload trigger and replacement equivalence UNKNOWN,What trigger separates historical h16816 from controlled xmma
P7_002,2,3,2,1,1,3,R=2: steady AV is 4237568 ns / 2.866503 percent across 112 instances,A=3: 28 HIGH Attention x V identities and direct runtime chain,S=2: 112/112 map to one exact xmma kernel but exact workload and tactic UNKNOWN,B=1: no defect inefficiency or headroom evidence,F=1: direct NCU ownership study remains possible but is not evidence of benefit,U=3: kernel arguments workload tactic backend and headroom UNKNOWN,Directly owned AV NCU efficiency and headroom
P7_003,1,2,1,1,2,2,R=1: all-trace total 2518016 ns / 1.090286 percent,A=2: static QK identity HIGH but runtime layer isolation incomplete,S=1: exact per-layer mapping and workload UNKNOWN,B=1: no defect evidence,F=2: existing SQLite query is plausible,U=2: kernel mapping and workload UNKNOWN,Representative-boundary layer-isolated runtime mapping
P7_004,1,2,1,1,1,2,R=1: one shared fused range 4442880 ns all-trace,A=2: one fused layer HIGH but generalization limited,S=1: shared range cannot be separated or triple counted,B=1: no defect evidence,F=1: no sharply bounded next question,U=2: coverage and workload UNKNOWN,Whether the observed fused pattern is representative
P7_005,1,2,1,2,1,3,R=1: one direct row 648512 ns all-trace,A=2: layer mapping HIGH but shared family attribution limited,S=1: shared h16816 cannot be cleanly assigned,B=1: no GEMM defect proven,F=1: no clean bounded question,U=3: shared family coverage and workload UNKNOWN,Pure gate_proj share of the shared h16816 family
P7_006,0,2,2,1,1,2,R=0: no mapped runtime rows in reviewed artifact,A=2: static operator mappings exist,S=2: operator names bounded but runtime isolation absent,B=1: no defect evidence,F=1: only generic mapping possible,U=2: runtime contribution and mechanism UNKNOWN,Mapped runtime contribution for down_proj and o_proj
P7_007,2,0,0,1,1,3,R=2: name-based category is 13927392 ns all-trace,A=0: operator identity UNKNOWN,S=0: no clean surface,B=1: no defect evidence,F=1: only generic attribution possible,U=3: operator isolation and workload UNKNOWN,What operators comprise __myl_*
P7_008,0,0,0,1,1,3,R=0: reviewed name-based category is zero,A=0: no precise performance attribution,S=0: no evidenced surface,B=1: no performance defect evidence,F=1: only generic requery possible,U=3: contribution and identity UNKNOWN,Nonzero precisely attributed runtime category
P7_009,0,0,0,1,0,3,R=0: no valid graph performance baseline,A=0: TensorRT kernels were omitted,S=0: invalid replay is not an optimization surface,B=1: current prototype is disproven,F=0: redesign requires explicit authorization,U=3: native graph feasibility UNKNOWN,Valid native TensorRT graph capture design
P7_010,3,3,3,0,0,1,R=3: significant Phase 4 and 5 runtime evidence,A=3: up_proj identity HIGH,S=3: isolated shape but feasibility closed,B=0: current implementation competitive and no tactic defect,F=0: CUTLASS replacement lost and reopening blocked,U=1: historical event-time gap cause remains INCONCLUSIVE,Cause of the unreproduced historical event-time gap
