evidence_id,phase,artifact_path,evidence_type,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove,notes
EVID_001,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.sqlite,Raw NSYS SQLite timeline,ea9ea0bc4a369647b837def7f98d2bfec2765f1f6f9c9619b4388ab2ab4345a8,3477504,Mixed persistent warmup plus representative prefill and four decode steps,NVTX ownership; runtime correlation; kernel names and launch configuration; immediate NVTX parents,Runtime tensor shapes; kernel arguments; workload identity between different parent ranges,Read-only URI access only; remains Jetson-local
EVID_002,Phase 3-C,/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.nsys-rep,Raw Nsight Systems report,14a579d7b15f5f936879fd13964021adf58b4cff6d9dc3e727177cfb17a9cce6,782415,Same raw capture,Companion identity for the SQLite export,Per-event query without export,Read-only hash check only
EVID_003,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/h16816_instances.csv,Derived seven-launch timeline,72d3d00db9d6a38e73777957838d91fa6ecec41df0da7a121ca786e6ea94cbfc,1869,Mixed persistent warmup and representative boundary,Historical h16816 launch timeline and direct runtime ownership,Immediate NVTX parent; runtime shapes,Reconstructed independently in Phase 6-C
EVID_004,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,Phase 6-B attribution report,32c1a318e1f43887ec821d87c592fd03c77788978f070a1905a60bcf39619c7b,6223,All-trace and representative steady,Seven-launch aggregate and boundary correction,Same-workload path comparison,Starting attribution context
EVID_005,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/candidate_inventory.csv,Derived candidate inventory,48601550405146d3c834e841222616bb02afb26ce175d0b98eb89b01d22052e5,34726,All-trace Phase 3-C aggregate,56 semantic QK/AV candidates and static shape provenance,Direct launch identity for all layers,Used for 28 QK rows
EVID_006,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/fusion_rewrite_attribution.csv,Derived prefill/decode representation map,ca12a1098566207084b28ac595f785b682fcdd0f3093317e4b4d0a119631aa03,16095,Static engine metadata,Prefill fused and decode standalone representation,Runtime shape equivalence,28 QK and 28 AV rows
EVID_007,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/runtime_context_attribution.csv,Derived runtime-context map,260efc72e58248e3f2b871fed4afefcc78b541e752902ce19566eccd7f68595a,15233,Static engine metadata,Prefill and decode context existence,Runtime path transition mechanism,Used for cross-layer context
EVID_008,Phase 4-A.0,results/phase4a_operator_attribution/20260904T131524Z/mixed_decode_engine_inspector.json,Static decode EngineInspector JSON,b9305150544221c601861aa7b7a86232bbc62d851ac45619fe6166758cc5fe71,577689,Static serialized engine,Static layer names/shapes/tactics,Runtime kernel shape or argument,Source for static decode path
EVID_009,Phase 4-A.1,results/phase4a_operator_attribution/20260904T132820Z/mapping.csv,Static layer-to-ONNX mapping,f72801d9ff686fc446756ffd6577a59a170aa131df994de76ba260428281a296,208422,Static graph/engine mapping,Static ONNX identity,Runtime attribution by itself,Used for QK semantic context
EVID_010,Phase 4-A.2,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_kernel_mapping.csv,Derived NVTX-to-kernel aggregate,cb809dd64cd728d93f739866d508b8ca4a881318473871917c7f0f6c1afdb464,51718,All-trace aggregate,Historical h16816 and xmma totals,Immediate parent and per-launch workload,Starting historical aggregate
EVID_011,Phase 3-B,experiments/Phase2-qwen3-quantization/src/phase3b/phase3b_runtime_context.py,Workload code,619599f0d93b910785954945cb17e3ffb3e48667973632eceeae4d4b76f298e6,25859,S=8 prefill plus four decode steps,Profiled sequence and code-derived old_len progression,Actual per-launch runtime tensor shapes,Code sequence evidence only
