evidence_id,phase,artifact_path,evidence_type,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove,used_for
EVID_001,Phase 5,results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md,Final closeout report,0a21846f4fe9b58b0f25da76d09147f34ce85a3ef49dfe31052c7eb3787d3905,4779,Multiple Phase 4/5 boundaries,NO_PROVEN_CUDA_GEMM_OPTIMIZATION_TARGET and NO_PROVEN_TACTIC_DEFECT for up_proj,Universal optimum proof,Closed-candidate control
EVID_002,Phase 5,results/phase5_closeout_and_target_reselection/20260905T115247Z/next_target_ranking.csv,Before-ranking CSV,4611d3cbdd00437c99758777e957553415c0e365adef26c083e11eaad9c57993,2558,Phase 5 closeout ranking,Old rank order and scores,Predicted speedup,Old-versus-new comparison
EVID_003,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/phase6a_attribution_report.md,Attribution report,0e0226ac10087f42bf095fc92b9d35ac453291ceef10a0672795358d01ecaaf1,9452,Static plus Phase 3-C all-trace aggregate,56 QK^T / Attention x V semantic candidates; boundary corrections,Runtime tensor shapes; clean optimization surface,Attention candidate correction
EVID_004,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/candidate_inventory.csv,56-candidate inventory,48601550405146d3c834e841222616bb02afb26ce175d0b98eb89b01d22052e5,34726,Static engine plus all-trace runtime aggregate,Static shapes; per-node aggregate totals; tactic-consistent subset,Per-launch runtime proof,Attention family inventory
EVID_005,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,Anomaly reconciliation report,32c1a318e1f43887ec821d87c592fd03c77788978f070a1905a60bcf39619c7b,6223,Seven launches all-trace; five representative-steady launches,Direct /MatMul ownership of seven h16816 launches; 35951296 ns steady sum,Clean replacement surface or normalized performance,Layer-0 QK runtime significance
EVID_006,Phase 6-C,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md,Dynamic-path attribution report,0a446a523c6ae526e2628b8847aa0d4b1959693270d0ce0c6162c1dda52f9c8d,5476,Eleven exact /MatMul launches,Parent-context difference; QK_PATH_TRANSITION_UNRESOLVED,Runtime shapes; same workload; same engine invocation; transition trigger,Attention uncertainty penalty
EVID_007,Phase 6-C,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/qk_launch_timeline.csv,Launch timeline,a270dcd543c983c546e6f9fd7850b535fc3d3c8ab35d1135746e1cbb59a69abc,2634,Eleven exact /MatMul launches,Per-launch paths durations and parents,Per-launch tensor shapes or work quantity,Negative performance comparison evidence
EVID_008,Phase 3-C,results/phase3c_residual_runtime/20260904T093500Z_nsys/analysis/c3_top_contributors.csv,Name-based category summary,57c6e4cf6eeb4e206ff5304eac683863200191ba83ffe9ae2f85fb767f0c7343,5822,All-trace aggregate,TRT internal non-GEMM category time,Operator identity or isolation,TRT internal candidate
EVID_009,Phase 4-A.2,results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_range_summary.csv,NVTX runtime range summary,fbecb716f91cbff579fdf837ac3f6bcd2d82b522f6bce1bc05560cd8470f6f95,19558,All-trace aggregate,Historical candidate totals including up_proj gate_proj and fused q/k/v,Clean prefill/decode split or per-operator pure time,Historical runtime comparison
EVID_010,Phase 5,results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_evidence_summary.csv,Phase 5 evidence summary,f672ac2548b47b7f537f00f7ef30c392fea5da91a0212ac402e38a8a5e5aebd8,3861,Multiple Phase 4/5 boundaries,cuBLASLt CUTLASS historical TRT and matched NCU up_proj evidence,Direct DRAM throughput; production event-time equivalence,Closed up_proj negative evidence
