candidate_id,onnx_node,decoder_layer,input_shapes,output_shape,graph_neighborhood_summary,semantic_hypothesis,semantic_identity,confidence,anchor_evidence,counter_evidence,unknowns
P6A_001,/MatMul,0,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm/Div and /q_norm/Mul;K producer references /k_norm/Div, /k_norm/Mul_1, /Reshape_* and /Transpose_*;TRT layer 15 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_002,/MatMul_1,0,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj;TRT layer 18 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_003,/MatMul_2,1,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_1/Div and /q_norm_1/Mul;K producer references /k_norm_1/Div, /k_norm_1/Mul_1, /Reshape_* and /Transpose_*;TRT layer 44 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_004,/MatMul_3,1,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_1;TRT layer 47 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_005,/MatMul_4,2,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_2/Div and /q_norm_2/Mul;K producer references /k_norm_2/Div, /k_norm_2/Mul_1, /Reshape_* and /Transpose_*;TRT layer 67 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_006,/MatMul_5,2,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_2;TRT layer 70 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_007,/MatMul_6,3,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_3/Div and /q_norm_3/Mul;K producer references /k_norm_3/Div, /k_norm_3/Mul_1, /Reshape_* and /Transpose_*;TRT layer 92 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_008,/MatMul_7,3,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_3;TRT layer 95 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_009,/MatMul_8,4,16x1x128;16x128x-1,16x1x-1,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,QK^T,QK^T,HIGH,"Q producer references /q_norm_4/Div and /q_norm_4/Mul;K producer references /k_norm_4/Div, /k_norm_4/Mul_1, /Reshape_* and /Transpose_*;TRT layer 117 tactic and Q/K shape compatibility;Immediate TRT consumer contains Softmax",NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
P6A_010,/MatMul_9,4,16x1x-1;16x-1x128,16x1x128,ONNX_NODE_INVENTORY_3HOP;see graph_neighborhood.csv,Attention_x_V,Attention_x_V,HIGH,Softmax output is first operand producer input;V/GQA Expand producer references /v_proj_4;TRT layer 120 tactic and probability/V shape compatibility;Immediate TRT consumer contains o_proj,NONE,TRT internal kernel implementation identity beyond layer/tactic is UNKNOWN
