candidate_id,runtime_significance_evidence,semantic_attribution_evidence,surface_clarity_evidence,baseline_or_defect_evidence,feasibility_evidence,uncertainty_evidence,phase6e_delta,smallest_unanswered_question,negative_evidence
P6F_001,"R=3: seven h16816 launches total 54984352 ns all-trace and five steady launches total 35951296 ns / 24.319258 percent","A=3: QK^T semantic identity HIGH and historical runtime ownership HIGH","S=1: runtime shape and replacement boundary unknown","B=2: historical behavior is real and unresolved but no tactic defect is proven","F=0: controlled frozen-engine attempt did not reproduce the path","U=3: fundamental workload identity and trigger uncertainty remains","F decreases 1 to 0 and U increases 2 to 3; R/A/S/B are unchanged","Why did the frozen controlled run select xmma for all four layer-0 QK invocations while history recorded h16816?","Historical shapes UNKNOWN; same-workload equivalence UNKNOWN; path trigger UNKNOWN; tactic defect NOT_PROVEN"
P6F_002,"R=1: direct AV rows total 4237568 ns / 1.834842 percent all-trace across 28 rows and 112 calls","A=3: Attention x V semantic identity HIGH from Softmax, V/GQA, shape, and o_proj provenance","S=1: prefill is fused and decode kernel mapping is not one-to-one proven","B=1: no proven defect or inefficiency signal","F=2: an existing Phase 3-C SQLite can answer a sharply bounded AV attribution question","U=2: steady-boundary share and runtime kernel ownership remain unknown","F increases 1 to 2 because direct row aggregation now exposes a bounded AV question","Can direct AV /MatMul rows be separated into a representative-boundary runtime and kernel attribution using the existing Phase 3-C SQLite?","AV steady-boundary contribution UNKNOWN; exact runtime kernel mapping UNKNOWN"
P6F_003,"R=1: direct QK layers 1-27 rows total 2518016 ns / 1.090286 percent all-trace across 27 rows and 108 calls","A=2: static QK identity HIGH but layers 1-27 are not runtime-isolated as a complete attribution","S=1: static operation is bounded while runtime layer isolation is unresolved","B=1: no defect evidence","F=2: an existing-SQLite representative-boundary query is plausible","U=2: kernel mapping and workload identity remain unknown","F increases 1 to 2 because direct row sums provide a bounded starting aggregate","Can layers 1-27 QK rows be separated into representative-boundary runtime and kernel attribution without new profiling?","Layer-isolated runtime mapping UNKNOWN; no defect evidence"
P6F_004,"R=1: one shared fused range 4442880 ns all-trace","A=2: one fused layer is HIGH but generalization is limited","S=1: shared q/k/v range cannot be separated or triple counted","B=1: no defect evidence","F=1: no bounded next question is clearly supported","U=2: coverage and workload identity are uncertain","No Phase 6-E delta; Phase 6-E is layer-0 QK only","Is the observed fused q/k/v pattern representative across 28 layers?","Single-layer coverage; no headroom proof"
P6F_005,"R=1: one direct row 648512 ns all-trace","A=2: gate_proj layer mapping HIGH but shared h16816 family attribution is limited","S=1: shared h16816 cannot be cleanly assigned","B=1: Phase 5 does not prove a GEMM defect","F=1: no clean bounded question beyond generic reattribution","U=3: shared family, one-layer coverage, and workload uncertainty","No Phase 6-E delta","What is the pure gate_proj share of the shared h16816 family?","Shared attribution cannot be cleanly assigned; Phase 5 negative evidence remains"
P6F_006,"R=0: no mapped runtime rows in reviewed attribution artifact","A=2: static down_proj and o_proj mappings exist","S=2: operator names are bounded but runtime isolation is absent","B=1: no defect evidence","F=1: generic mapping is possible but no focused question is supported","U=2: runtime contribution and mechanism unknown","No Phase 6-E delta","Can down_proj/o_proj runtime time be mapped from existing artifacts?","No mapped runtime rows or headroom evidence"
P6F_007,"R=2: Mixed all-trace name-based __myl_* category 13927392 ns","A=0: operator identity is UNKNOWN","S=0: no identifiable clean surface","B=1: no defect evidence","F=1: only generic internal attribution is plausible","U=3: operator and isolation are unknown","No Phase 6-E delta","What operator or internal TensorRT work comprises __myl_*?","No operator mapping or targeted profile evidence"
P6F_008,"R=0: name-based runtime category is zero","A=0: no precise performance attribution","S=0: no evidenced surface","B=1: no defect evidence","F=1: only generic requery is possible","U=3: contribution and identity unknown","No Phase 6-E delta","Is there any nonzero runtime category after precise attribution?","No positive performance evidence"
P6F_009,"R=0: no valid graph path performance baseline","A=0: current path directly omitted TensorRT kernels","S=0: invalid replay is not an optimization surface","B=1: current prototype is disproven","F=0: a new design would require explicit authorization and is not a bounded evidence query","U=3: native graph feasibility remains UNKNOWN","No Phase 6-E delta","Can native TensorRT graph capture preserve execution and validate outputs?","Current full-window and per-engine paths are invalid and wrong"
P6F_010,"R=3: Phase 4/5 runtime evidence is significant","A=3: up_proj identity HIGH","S=3: shape is isolated but feasibility is closed","B=0: Phase 5 shows current implementation competitive and no tactic defect","F=0: replacement already lost; reopening requires new independent evidence","U=1: bounded residual uncertainty but target closed","No Phase 6-E delta","What caused the historical event-time gap?","NO_PROVEN_CUDA_GEMM_OPTIMIZATION_TARGET and NO_PROVEN_TACTIC_DEFECT"
