layer_id,shape,precision,tactic,candidate_operator,confidence
4,"inputs=[{""name"":""__myln_k_arg__bb1_2671"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613729dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2672"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L0:v_proj,HIGH
8,"inputs=[{""name"":""__myln_k_arg__bb1_2670"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613887dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2675"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L0:k_proj,HIGH
11,"inputs=[{""name"":""__myln_k_arg__bb1_2669"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye613892dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2678"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L0:q_proj,HIGH
15,"inputs=[{""name"":""/Add_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_4 _ /Transpose_3_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye567710/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567711/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye567707"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
18,"inputs=[{""name"":""/Softmax_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_1_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye567731/MatMul_1_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567732/MatMul_1_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2688"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
20,"inputs=[{""name"":""hidden_states"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574508_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye614244dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L0:o_proj,HIGH
22,"inputs=[{""name"":""__myln_k_arg__bb1_2691"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye614249dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye567755/up_proj/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567756/up_proj/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2693"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L0:up_proj,HIGH
23,"inputs=[{""name"":""__myln_k_arg__bb1_2693"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2692"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614254dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2694"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L0:gate_proj,HIGH
24,"inputs=[{""name"":""__myln_k_arg__bb1_2690"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2694"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7564 _ ONNXTRT_Broadcast_300_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l0"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L0:down_proj,HIGH
28,"inputs=[{""name"":""__myln_k_arg__bb1_2698"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614259dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2699"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L1:v_proj,HIGH
34,"inputs=[{""name"":""__myln_k_arg__bb1_2697"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614417dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2702"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L1:k_proj,HIGH
40,"inputs=[{""name"":""__myln_k_arg__bb1_2696"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye614422dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2707"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L1:q_proj,HIGH
44,"inputs=[{""name"":""/Add_4_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_12 _ /Transpose_8_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye567829/MatMul_2_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye567830/MatMul_2_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye567826"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
