candidate_id,semantic_operator,runtime_context,decoder_layers,trt_identity,onnx_identity,kernel_identity,historical_runtime_evidence,current_runtime_evidence,historical_reproducibility,controlled_reproducibility,semantic_confidence,runtime_confidence,kernel_confidence,optimization_surface,defect_evidence,feasibility_evidence,major_unknowns,negative_evidence,classification,source_artifacts
P6F_001,Layer-0 decode QK^T historical h16816 path,Mixed prefill S8 plus four decode steps,0,/MatMul_myl0 layer and /MatMul,/MatMul,trt_ampere_h16816gemm_128x64_ldg8_nn_v1; historical grid 1187x1x1 and block 64x1x1,Seven launches 54984352 ns all-trace; five steady launches 35951296 ns / 24.319258 percent,Phase 6-E does not reproduce the path; all four controlled layer-0 launches are xmma,Historical launches are real and directly owned by /MatMul,NOT_REPRODUCED_UNDER_CONTROLLED_BOUNDARY,HIGH,HIGH,HIGH,Not clean; historical runtime shape and replacement boundary unknown,NO_PROVEN_TACTIC_DEFECT,Low after Phase 6-E; no reproducible target path,"Runtime shapes; same workload; path trigger; operation identity; clean replacement surface","Historical shapes UNKNOWN; workload equivalence UNKNOWN; trigger UNKNOWN; tactic defect NOT_PROVEN; controlled path NOT_REPRODUCED",NO_CURRENT_ACTION,"results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md;results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md;results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/phase6e_attribution_report.md"
P6F_002,Attention x V across 28 layers,Mixed prefill fused and decode standalone metadata; historical all-trace rows mapped to odd /MatMul nodes,0-27,28 standalone decode GEMM layers; prefill fused into _gemm_mha_v2,/MatMul_1 through /MatMul_55 odd node numbers,Static tactic generally sm80_xmma_gemm_f16f16_f16f32_f32; exact one-to-one runtime mapping remains bounded,Direct AV rows total 4237568 ns / 1.834842 percent all-trace over 28 rows and 112 calls,No new AV execution; Phase 6-E does not directly map AV,Historical direct-row ownership is bounded,NOT_ATTEMPTED_NO_NEW_RUN,HIGH,MEDIUM,MEDIUM,Not clean; prefill is fused and decode implementation semantics remain unresolved,NO_PROVEN_DEFECT,Moderate for a read-only existing-SQLite attribution query,"Per-layer runtime isolation; kernel-to-node one-to-one mapping; steady-boundary share; replacement surface","AV steady-boundary contribution UNKNOWN; exact kernel mapping UNKNOWN; no proven headroom",ATTRIBUTION_ONLY,"results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/phase6a_attribution_report.md;results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv"
P6F_003,QK^T layers 1-27 static xmma path,Mixed prefill fused and decode standalone metadata; historical all-trace rows mapped to even /MatMul nodes excluding layer 0,1-27,27 standalone decode GEMM layers; matching prefill fused layers,/MatMul_2 through /MatMul_54 even node numbers,Static tactic class sm80_xmma_gemm_f16f16_f16f32_f32,Direct QK layers 1-27 rows total 2518016 ns / 1.090286 percent all-trace over 27 rows and 108 calls,No new layers 1-27 execution; Phase 6-E is layer 0 only,Static-to-runtime family mapping is bounded,NOT_ATTEMPTED_NO_NEW_RUN,HIGH,MEDIUM,MEDIUM,Bounded semantic operation but not layer-isolated as a single clean surface,NO_PROVEN_DEFECT,Moderate for a bounded offline attribution query,"Per-layer runtime isolation; exact kernel mapping; steady-boundary share; workload identity","Layer-isolated runtime rows UNKNOWN; same-workload kernel claim UNKNOWN; no defect evidence",ATTRIBUTION_ONLY,"results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv;results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md"
P6F_004,Fused q_proj;k_proj;v_proj shared projection,Layer 2 observed only in historical mixed decode/representative runtime,Layer 2 observed; 28 static layers,One fused projection range,/v_proj_2/MatMul plus /k_proj_2/MatMul plus /q_proj_2/MatMul,trt_ampere_h16816gemm_256x64_ldg8_tn_v1; grid 16x1x1,One shared fused range 4442880 ns all-trace,No new fused-projection execution,Historical shared row is bounded,NOT_ATTEMPTED_NO_NEW_RUN,HIGH for one fused layer,MEDIUM,HIGH for observed kernel context,Not clean; shared range cannot be triple counted and coverage is one layer,NO_PROVEN_DEFECT,Low to moderate; no representative 28-layer attribution,"Generalization across 28 layers; pure per-projection share; workload identity; mechanism","Single-layer coverage; no headroom proof; no operator-specific NCU evidence",ATTRIBUTION_ONLY,"results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_range_summary.csv"
P6F_005,gate_proj shared-h16816 path,Layer 27 observed in historical mixed runtime,27 observed; 28 static layers,/gate_proj_27/MatMul,/gate_proj/MatMul,trt_ampere_h16816gemm_128x64_ldg8_nn_v1; grid 24x1x1,One direct row 648512 ns all-trace; shared h16816 family cannot be wholly assigned,No new gate_proj execution,Historical row is bounded,NOT_ATTEMPTED_NO_NEW_RUN,HIGH layer mapping,MEDIUM,HIGH for observed kernel context,Not clean; one row and shared h16816 family attribution,NO_PROVEN_GEMM_DEFECT,Low; Phase 5 closeout and shared attribution limit action,"Pure gate_proj share; other layers; workload identity; mechanism","Shared attribution cannot be cleanly assigned; no defect proven; Phase 5 negative evidence remains",ATTRIBUTION_ONLY,"results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_range_summary.csv"
P6F_006,down_proj / o_proj,Historical static mappings without mapped runtime rows in reviewed attribution artifact,0-27 static,down_proj and o_proj GEMM mappings,down_proj and o_proj GEMM nodes,UNKNOWN,0 mapped runtime rows in reviewed attribution artifact,No new execution,NOT_APPLICABLE,NOT_ATTEMPTED_NO_NEW_RUN,HIGH static mapping,UNKNOWN,UNKNOWN,Bounded static GEMM names but no measured runtime surface,NO_DEFECT_EVIDENCE,Low,"Runtime contribution; workload; tactic behavior; headroom","No mapped runtime rows and no headroom evidence",NO_CURRENT_ACTION,"results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase4a_operator_attribution/20260904T134556Z/runtime_nvtx_range_summary.csv"
P6F_007,TensorRT internal non-GEMM __myl_* family,Mixed and FP16 captured contexts,UNKNOWN,Name-only TensorRT internal category,UNKNOWN,Multiple __myl_* kernels,13927392 ns Mixed all-trace name-based category,No new execution,Historical name aggregate only,NOT_ATTEMPTED_NO_NEW_RUN,UNKNOWN,UNKNOWN,UNKNOWN,Very low; operator identity and isolation unknown,NO_DEFECT_EVIDENCE,Low,"Operator identity; layer decomposition; workload; isolation boundary","No semantic mapping; fusion is hypothesis only",ATTRIBUTION_ONLY,"results/phase3c_residual_runtime/20260904T093500Z_nsys/stats/mixed_persistent_cuda_gpu_kern_sum.csv;results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv"
P6F_008,RMSNorm / RoPE performance categories,Mixed captured name-based context,UNKNOWN,Name-based category,UNKNOWN,UNKNOWN,0 ms in reviewed name-based category,No new execution,NOT_APPLICABLE,NOT_ATTEMPTED_NO_NEW_RUN,UNKNOWN,UNKNOWN,UNKNOWN,No evidenced runtime performance surface,NO_DEFECT_EVIDENCE,Low,"Runtime contribution; kernel identity; isolation boundary","Numerical evidence cannot substitute for performance evidence",NO_CURRENT_ACTION,"results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_master_inventory.csv;results/phase5_closeout_and_target_reselection/20260905T115247Z/next_target_reselection.md"
P6F_009,PyTorch/TensorRT CUDA Graph capture and replay path,Phase 3-D0 full-window and per-engine prototypes,Decode,torch.cuda.CUDAGraph around TensorRT execute path,UNKNOWN,Captured graph contained FillFunctor kernels and omitted TensorRT kernels,Invalid full-window and per-engine graph paths failed validation,Not retried,DISPROVEN_FOR_CURRENT_PROTOTYPE,DISPROVEN_FOR_CURRENT_PROTOTYPE,HIGH for current prototype failure,LOW,LOW,No valid graph optimization surface for current implementation,CURRENT_PATH_VALIDATION_FAILED,Low; current prototype is negative,"Native TensorRT graph feasibility; redesigned fixed-shape runtime","Outputs invalid and TensorRT kernels absent; speed is not usable performance",NO_CURRENT_ACTION,"docs/phase3d0_cuda_graph_feasibility.md"
P6F_010,up_proj decode FP16 GEMM,Phase 4/5 decode target,0-27,/up_proj/MatMul through /up_proj_27/MatMul,/up_proj/MatMul,h16816 and sm80_xmma correlated kernel families,37554112 ns all-trace; Phase 5 standalone and matched NCU baselines,No new execution,Historical and Phase 5 evidence remains frozen,NOT_ATTEMPTED_NO_NEW_RUN,HIGH,HIGH,HIGH,Isolated shape but Phase 5 closes the target,NO_PROVEN_TACTIC_DEFECT,Low for custom CUDA; negative Phase 5 feasibility,"Numeric tactic ID; backend identity; event-time gap cause","NO_PROVEN_CUDA_GEMM_OPTIMIZATION_TARGET; CUTLASS replacement slower than cuBLASLt; matched NCU durations nearly equal",CLOSED_FOR_NOW,"results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md"
