evidence_id,phase,artifact_path,sha256,bytes,measurement_boundary,what_it_proves,what_it_cannot_prove
EVID_P7_001,Phase 3-B,docs/phase3b_runtime_object_lifetime.md,1f3d314b4be6f6e2d4044ad5d6d3b7e716ce1a1c6c572b2e7903ea4785c1d869,14029,Controlled single-request batch-1 S=8/S=16 workload,Persistent ExecutionContext is PASS/CLOSED/PROVEN with exact-output validation and large latency reduction,Generalization to multi-request or other workloads
EVID_P7_002,Phase 3-B,results/phase3b_runtime_lifetime/20260904T081621Z/functional_result.json,d435ad97af3b8761e3690e4a2822625e4c42bd39b40e27c0c251ffd1dfd28a57,12128,Functional A/B,Legacy and persistent outputs are exactly equal with KV invariants PASS,Exact retained-context memory cost
EVID_P7_003,Phase 3-B,results/phase3b_runtime_lifetime/20260904T081727Z/bench_result.json,3d9a5056e3fa70b8013b6d8fbcbc4f54e79d391d013f2227257f1b528f149553,47989,Warmup 5 repeats 10 decode-window repeats 3,Mixed prefill 2259.919/2255.619 -> 47.627/42.406 ms and TPOT 2662.990/2662.266 -> 43.362/43.580 ms,Exact context-only memory cost
EVID_P7_004,Phase 3-B,results/phase3b_runtime_lifetime/20260904T082912Z_nsys/analysis/b4_causal_ab.csv,139a513e5120bc2582fed254444fea2fdce630d4eac3f18e7153f6a756325e54,1211,Profiled steady ranges,Steady module load/unload collapsed to zero and CUDA API time fell sharply,Kernel-time microarchitectural cause
EVID_P7_005,Phase 5,results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md,0a21846f4fe9b58b0f25da76d09147f34ce85a3ef49dfe31052c7eb3787d3905,4779,Standalone and matched NCU feasibility boundaries,up_proj has NO_PROVEN_CUDA_GEMM_OPTIMIZATION_TARGET and NO_PROVEN_TACTIC_DEFECT,Global optimality or permission to reopen
EVID_P7_006,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/phase6a_attribution_report.md,0e0226ac10087f42bf095fc92b9d35ac453291ceef10a0672795358d01ecaaf1,9452,Frozen static and all-trace attribution,28 HIGH QK and 28 HIGH Attention x V identities,Runtime one-to-one mapping by itself
EVID_P7_007,Phase 6-A,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/contribution_reconciliation.csv,5a9e768576debb09453148d021f3760fd834d2bc644bc452d88106956bb5c31a,12019,Phase 3-C Mixed persistent all-trace denominator 230950048 ns,Direct AV rows total 4237568 ns / 1.834842 percent; QK layers 1-27 total 2518016 ns / 1.090286 percent,Steady-state contribution or inefficiency
EVID_P7_008,Phase 6-B,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,32c1a318e1f43887ec821d87c592fd03c77788978f070a1905a60bcf39619c7b,6223,Historical all-trace and representative steady boundary,Seven h16816 launches total 54984352 ns; five steady launches 35951296 ns / 24.319258 percent,Runtime shape or workload equivalence
EVID_P7_009,Phase 6-C,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md,0a446a523c6ae526e2628b8847aa0d4b1959693270d0ce0c6162c1dda52f9c8d,5476,Historical 11 /MatMul launches,Seven h16816 and four xmma launches have different immediate parents,Runtime shape or trigger
EVID_P7_010,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/phase6d_plan.md,93d9cb880816f80c434613e9ee4eb2a0ed388fc1e791bfa7b4d9dc7e3adac6cb,5139,Phase 6-D evidence synthesis,Freezes R+A+S+B+F-U with dimensions bounded 0-3,Later Phase 6-G/H evidence update
EVID_P7_011,Phase 6-D,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/candidate_ranking.csv,947bdcf9c931e8bbb6f8efab067a6a8bce1ea20d61f5e95d8cb09f59eedc51a8,2056,Pre-controlled-reproduction baseline,Layer-0 QK was Rank 1 at score 8 and ATTRIBUTION_ONLY,Post-Phase-6-E status
EVID_P7_012,Phase 6-E,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/phase6e_attribution_report.md,cf5dd7a619682531f5584063ccb03820848a2692fdf5e2d35013f8d3990b3101,7581,Controlled frozen engine decode steps 0-3,All four layer-0 QK launches used xmma and zero used h16816,Workload equivalence or trigger
EVID_P7_013,Phase 6-F,results/phase6f_post_reproduction_target_ranking/20260906T143411Z/phase6f_target_ranking_report.md,ad041170c9afdbb504dcee0004aef37c21d07710104b1b66e1c43b665c4da87d,11352,Post-reproduction ranking baseline,Layer-0 QK is NO_CURRENT_ACTION and AV is selected attribution-only,Direct steady boundary attribution
EVID_P7_014,Phase 6-F,results/phase6f_post_reproduction_target_ranking/20260906T143411Z/candidate_ranking.csv,af895252905ed4fb5ca2d18ea1738dd326ba1914843842f1466ca8c4f02667ee,2525,Post-reproduction ranking baseline,AV score was 6 and QK layers 1-27 score was 5,Phase 6-G/H evidence update
EVID_P7_015,Phase 6-G,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md,dde2685157195d5226999aeb025312aa4623b1fbf6bc152f217b432c9ea0a412,5878,Frozen Phase 3-C read-only SQLite; representative steady decode steps 0-3,112/112 AV instances across 28 layers correlate to one exact xmma kernel family,Kernel arguments workload tactic backend or headroom
